vendor,domain,dda_name,artifact_id,artifact_name,artifact_type,questions_supported,required_or_optional,last_received_date,validity_months,current_status,why_needed,priority
Fabrikam Workflow AI,Reputation,Reputation DDA,ART-FB-REP-001,Adverse Media Review Summary,Screening Report,8,Required,2025-02-01,6,Available,Supports reputational event negative news and controversy screening,Medium
Fabrikam Workflow AI,Reputation,Reputation DDA,ART-FB-REP-002,Ethics and Code of Conduct Policy,Policy,7,Required,2025-06-04,12,Available,Supports ethics conduct and complaint handling questions,Medium
Fabrikam Workflow AI,Finance,Finance DDA,ART-FB-FIN-001,Audited Financial Statements,Financial Report,12,Required,2024-10-16,12,Available,Supports solvency revenue liquidity and going concern review,High
Fabrikam Workflow AI,Finance,Finance DDA,ART-FB-FIN-002,Financial Health Monitoring Summary,Monitoring Report,6,Required,2024-11-03,6,Available,Supports recent financial trend and health questions,High
Fabrikam Workflow AI,Business Resiliency,Business Resiliency DDA,ART-FB-BR-001,Business Continuity Plan,Policy,12,Required,2025-03-04,12,Available,Supports continuity governance recovery procedures and crisis management questions,High
Fabrikam Workflow AI,Business Resiliency,Business Resiliency DDA,ART-FB-BR-002,BCP DR Test Results,Test Evidence,10,Required,2024-05-18,12,Available,Supports recovery test RTO RPO exercise and remediation questions,High
Fabrikam Workflow AI,Operational,Operational DDA,ART-FB-OPS-001,Service Level Agreement Summary,Contract Evidence,8,Required,2025-10-01,12,Available,Supports service performance uptime and support obligations,Medium
Fabrikam Workflow AI,Operational,Operational DDA,ART-FB-OPS-002,Incident Management Procedure,Procedure,7,Required,2025-07-13,12,Available,Supports incident escalation notification and corrective action questions,Medium
Fabrikam Workflow AI,Operational,Operational DDA,ART-FB-OPS-003,Subprocessor and Fourth Party Register,Register,6,Required,2025-04-04,6,Available,Supports fourth-party and subcontractor dependency questions,High
Fabrikam Workflow AI,Operational,Operational DDA,ART-FB-OPS-004,Change Management Procedure,Procedure,6,Required,2025-10-02,12,Available,Supports release change testing and approval questions,Medium
